PLAYER,TEAM,GAME,POS,H_PROJECTION,R_PROJECTION,RBI_PROJECTION,HRR_PROJECTION,OPTIMAL_LINE,OVER_PROBABILITY,EDGE,EDGE_PERCENTAGE,CONFIDENCE,RECOMMENDATION
Francisco Lindor,NYM,NYM@COL,SS,1.32,0.92,0.82,3.06,2.0,0.59,0.1271,12.71,MEDIUM,MODERATE BET
Pete Alonso,NYM,NYM@COL,1B,1.19,0.77,1.02,2.98,2.0,0.572,0.0931,9.31,MEDIUM,MODERATE BET
Juan Soto,NYM,NYM@COL,LF,1.18,0.92,0.78,2.88,2.0,0.549,0.0493,4.93,LOW,SMALL BET
Ketel Marte,ARI,ARI@CIN,2B,1.13,0.85,0.75,2.73,2.0,0.514,-0.0188,-1.88,AVOID,PASS
Cody Bellinger,NYY,BOS@NYY,1B,1.21,0.66,0.82,2.69,2.0,0.504,-0.0375,-3.75,AVOID,PASS
Corbin Carroll,ARI,ARI@CIN,LF,1.07,0.87,0.65,2.59,2.0,0.479,-0.085,-8.5,AVOID,PASS
Elly De La Cruz,CIN,ARI@CIN,3B,1.1,0.77,0.67,2.54,2.0,0.466,-0.1092,-10.92,AVOID,PASS
Cal Raleigh,SEA,SEA@LAA,C,0.92,0.71,0.81,2.44,2.0,0.441,-0.1583,-15.83,AVOID,PASS
Gunnar Henderson,BAL,BAL@ATH,SS,1.16,0.75,0.52,2.43,2.0,0.438,-0.1632,-16.32,AVOID,PASS
Josh Naylor,ARI,ARI@CIN,1B,1.14,0.53,0.75,2.42,2.0,0.436,-0.1682,-16.82,AVOID,PASS
Julio Rodriguez,SEA,SEA@LAA,RF,1.14,0.68,0.59,2.41,2.0,0.433,-0.1732,-17.32,AVOID,PASS
Jose Ramirez,CLE,HOU@CLE,3B,1.04,0.7,0.65,2.39,2.0,0.428,-0.1831,-18.31,AVOID,PASS
Brandon Nimmo,NYM,NYM@COL,RF,0.96,0.69,0.67,2.32,2.0,0.409,-0.2183,-21.83,AVOID,PASS
Jacob Wilson,ATH,BAL@ATH,SS,1.2,0.54,0.54,2.28,2.0,0.399,-0.2386,-23.86,AVOID,PASS
Jarren Duran,BOS,BOS@NYY,CF,1.11,0.58,0.56,2.25,2.0,0.391,-0.2538,-25.38,AVOID,PASS
Brent Rooker,ATH,BAL@ATH,OF,1.03,0.57,0.63,2.23,2.0,0.385,-0.264,-26.4,AVOID,PASS
Rafael Devers,BOS,BOS@NYY,3B,0.96,0.62,0.64,2.22,2.0,0.383,-0.2691,-26.91,AVOID,PASS
Zach Neto,LAA,SEA@LAA,SS,1.0,0.62,0.55,2.17,2.0,0.369,-0.2948,-29.48,AVOID,PASS
Lawrence Butler,ATH,BAL@ATH,LF,1.01,0.64,0.51,2.16,2.0,0.367,-0.2999,-29.99,AVOID,PASS
Yandy Diaz,TB,MIA@TB,1B,1.03,0.5,0.61,2.14,2.0,0.361,-0.3102,-31.02,AVOID,PASS
Eugenio Suarez,ARI,ARI@CIN,SS,0.93,0.51,0.68,2.12,2.0,0.356,-0.3205,-32.05,AVOID,PASS
Hunter Goodman,COL,NYM@COL,1B,0.92,0.49,0.7,2.11,2.0,0.353,-0.3256,-32.56,AVOID,PASS
Manny Machado,SD,SD@MIL,3B,1.13,0.49,0.45,2.07,2.0,0.342,-0.3463,-34.63,AVOID,PASS
Paul Goldschmidt,NYY,BOS@NYY,1B,1.05,0.59,0.4,2.04,2.0,0.334,-0.3618,-36.18,AVOID,PASS
Junior Caminero,TB,MIA@TB,3B,0.94,0.55,0.55,2.04,2.0,0.334,-0.3618,-36.18,AVOID,PASS
Christian Walker,HOU,HOU@CLE,1B,0.94,0.51,0.59,2.04,2.0,0.334,-0.3618,-36.18,AVOID,PASS
Jackson Merrill,SD,SD@MIL,OF,1.1,0.39,0.53,2.02,2.0,0.329,-0.3721,-37.21,AVOID,PASS
Trent Grisham,NYY,BOS@NYY,RF,0.88,0.61,0.51,2.0,2.0,0.323,-0.3825,-38.25,AVOID,PASS
Tyler Soderstrom,ATH,BAL@ATH,1B,0.88,0.5,0.61,1.99,2.0,0.321,-0.3876,-38.76,AVOID,PASS
Jeremy Pena,HOU,HOU@CLE,SS,1.02,0.52,0.45,1.99,2.0,0.321,-0.3876,-38.76,AVOID,PASS
Jackson Holliday,BAL,BAL@ATH,SS,0.92,0.53,0.53,1.98,2.0,0.318,-0.3928,-39.28,AVOID,PASS
Christian Yelich,MIL,SD@MIL,LF,0.88,0.48,0.61,1.97,2.0,0.315,-0.398,-39.8,AVOID,PASS
Lourdes Gurriel,ARI,ARI@CIN,OF,0.95,0.44,0.56,1.95,2.0,0.31,-0.4083,-40.83,AVOID,PASS
Steven Kwan,CLE,HOU@CLE,LF,1.02,0.57,0.35,1.94,2.0,0.307,-0.4135,-41.35,AVOID,PASS
Ben Rice,NYY,BOS@NYY,1B,0.88,0.5,0.55,1.93,2.0,0.304,-0.4186,-41.86,AVOID,PASS
Jasrado Chisholm,NYY,BOS@NYY,2B,0.88,0.56,0.47,1.91,2.0,0.299,-0.4289,-42.89,AVOID,PASS
Isaac Paredes,HOU,HOU@CLE,3B,0.87,0.45,0.56,1.88,2.0,0.291,-0.4444,-44.44,AVOID,PASS
Colton Cowser,BAL,BAL@ATH,LF,0.84,0.53,0.51,1.88,2.0,0.291,-0.4444,-44.44,AVOID,PASS
Jordan Westburg,BAL,BAL@ATH,SS,0.91,0.51,0.46,1.88,2.0,0.291,-0.4444,-44.44,AVOID,PASS
J.P. Crawford,SEA,SEA@LAA,SS,0.94,0.54,0.39,1.87,2.0,0.288,-0.4496,-44.96,AVOID,PASS
Jose Altuve,HOU,HOU@CLE,2B,0.98,0.5,0.39,1.87,2.0,0.288,-0.4496,-44.96,AVOID,PASS
Jackson Chourio,MIL,SD@MIL,LF,0.89,0.48,0.5,1.87,2.0,0.288,-0.4496,-44.96,AVOID,PASS
Randy Arozarena,SEA,SEA@LAA,CF,0.84,0.52,0.5,1.86,2.0,0.285,-0.4547,-45.47,AVOID,PASS
Trevor Story,BOS,BOS@NYY,SS,0.88,0.48,0.49,1.85,2.0,0.283,-0.4598,-45.98,AVOID,PASS
Gavin Lux,CIN,ARI@CIN,2B,0.98,0.43,0.44,1.85,2.0,0.283,-0.4598,-45.98,AVOID,PASS
Ryan McMahon,COL,NYM@COL,2B,0.81,0.53,0.47,1.81,2.0,0.272,-0.4804,-48.04,AVOID,PASS
Jonathan Aranda,TB,MIA@TB,2B,0.87,0.42,0.52,1.81,2.0,0.272,-0.4804,-48.04,AVOID,PASS
Ryan O`Hearn,BAL,BAL@ATH,1B,0.89,0.45,0.46,1.8,2.0,0.269,-0.4855,-48.55,AVOID,PASS
Fernando Tatis Jr.,SD,SD@MIL,OF,0.98,0.46,0.35,1.79,2.0,0.267,-0.4906,-49.06,AVOID,PASS
Starling Marte,NYM,NYM@COL,CF,0.83,0.41,0.54,1.78,2.0,0.264,-0.4957,-49.57,AVOID,PASS
Mike Trout,LAA,SEA@LAA,CF,0.75,0.48,0.54,1.77,2.0,0.261,-0.5008,-50.08,AVOID,PASS
Adley Rutschman,BAL,BAL@ATH,C,0.85,0.49,0.42,1.76,2.0,0.259,-0.5059,-50.59,AVOID,PASS
Noelvi Marte,CIN,ARI@CIN,3B,0.82,0.39,0.55,1.76,2.0,0.259,-0.5059,-50.59,AVOID,PASS
Brandon Lowe,TB,MIA@TB,2B,0.78,0.5,0.48,1.76,2.0,0.259,-0.5059,-50.59,AVOID,PASS
Wilyer Abreu,BOS,BOS@NYY,LF,0.84,0.46,0.44,1.74,2.0,0.253,-0.5161,-51.61,AVOID,PASS
Jacob Melton,HOU,HOU@CLE,LF,0.85,0.44,0.45,1.74,2.0,0.253,-0.5161,-51.61,AVOID,PASS
Xavier Edwards,MIA,MIA@TB,SS,1.04,0.43,0.27,1.74,2.0,0.253,-0.5161,-51.61,AVOID,PASS
Jeff McNeil,NYM,NYM@COL,2B,0.86,0.45,0.42,1.73,2.0,0.251,-0.5211,-52.11,AVOID,PASS
T.J. Friedl,CIN,ARI@CIN,CF,0.82,0.48,0.42,1.72,2.0,0.248,-0.5262,-52.62,AVOID,PASS
Josh Lowe,TB,MIA@TB,CF,0.84,0.45,0.43,1.72,2.0,0.248,-0.5262,-52.62,AVOID,PASS
Cole Young,SEA,SEA@LAA,2B,0.8,0.47,0.44,1.71,2.0,0.245,-0.5312,-53.12,AVOID,PASS
Spencer Steer,CIN,ARI@CIN,OF,0.8,0.44,0.46,1.7,2.0,0.243,-0.5363,-53.63,AVOID,PASS
William Contreras,MIL,SD@MIL,C,0.8,0.48,0.41,1.69,2.0,0.24,-0.5413,-54.13,AVOID,PASS
Geraldo Perdomo,ARI,ARI@CIN,SS,0.81,0.46,0.41,1.68,2.0,0.238,-0.5464,-54.64,AVOID,PASS
Denzel Clarke,ATH,BAL@ATH,LF,0.83,0.45,0.4,1.68,2.0,0.238,-0.5464,-54.64,AVOID,PASS
Jorge Polanco,SEA,SEA@LAA,2B,0.75,0.37,0.55,1.67,2.0,0.235,-0.5514,-55.14,AVOID,PASS
Francisco Alvarez,NYM,NYM@COL,C,0.83,0.36,0.46,1.65,2.0,0.23,-0.5614,-56.14,AVOID,PASS
Brice Turang,MIL,SD@MIL,2B,0.85,0.49,0.3,1.64,2.0,0.227,-0.5664,-56.64,AVOID,PASS
Kristian Campbell,BOS,BOS@NYY,2B,0.78,0.47,0.38,1.63,2.0,0.224,-0.5714,-57.14,AVOID,PASS
Connor Norby,MIA,MIA@TB,2B,0.82,0.39,0.42,1.63,2.0,0.224,-0.5714,-57.14,AVOID,PASS
Brett Baty,NYM,NYM@COL,3B,0.73,0.41,0.48,1.62,2.0,0.222,-0.5763,-57.63,AVOID,PASS
JJ Bleday,ATH,BAL@ATH,LF,0.72,0.51,0.37,1.6,2.0,0.217,-0.5862,-58.62,AVOID,PASS
Ceddanne Rafaela,BOS,BOS@NYY,LF,0.71,0.4,0.49,1.6,2.0,0.217,-0.5862,-58.62,AVOID,PASS
Nolan Schanuel,LAA,SEA@LAA,1B,0.84,0.44,0.29,1.57,2.0,0.209,-0.601,-60.1,AVOID,PASS
Matt McLain,CIN,ARI@CIN,2B,0.7,0.53,0.34,1.57,2.0,0.209,-0.601,-60.1,AVOID,PASS
Luis Arraez,SD,SD@MIL,1B,0.96,0.37,0.23,1.56,2.0,0.206,-0.6059,-60.59,AVOID,PASS
Tyler Stephenson,CIN,ARI@CIN,1B,0.71,0.4,0.45,1.56,2.0,0.206,-0.6059,-60.59,AVOID,PASS
Pavin Smith,ARI,ARI@CIN,1B,0.76,0.43,0.36,1.55,2.0,0.204,-0.6107,-61.07,AVOID,PASS
Thairo Estrada,COL,NYM@COL,2B,0.73,0.38,0.42,1.53,2.0,0.199,-0.6204,-62.04,AVOID,PASS
Jasson Dominguez,NYY,BOS@NYY,LF,0.7,0.44,0.38,1.52,2.0,0.196,-0.6253,-62.53,AVOID,PASS
Yainer Diaz,HOU,HOU@CLE,1B,0.77,0.33,0.42,1.52,2.0,0.196,-0.6253,-62.53,AVOID,PASS
Brenton Doyle,COL,NYM@COL,LF,0.63,0.43,0.46,1.52,2.0,0.196,-0.6253,-62.53,AVOID,PASS
Jose Caballero,TB,MIA@TB,SS,0.64,0.42,0.44,1.5,2.0,0.191,-0.6349,-63.49,AVOID,PASS
Ben Williamson,SEA,SEA@LAA,2B,0.71,0.41,0.38,1.5,2.0,0.191,-0.6349,-63.49,AVOID,PASS
Rhys Hoskins,MIL,SD@MIL,1B,0.7,0.28,0.51,1.49,2.0,0.189,-0.6397,-63.97,AVOID,PASS
Xander Bogaerts,SD,SD@MIL,SS,0.91,0.25,0.31,1.47,2.0,0.184,-0.6492,-64.92,AVOID,PASS
Abraham Toro-Hernandez,BOS,BOS@NYY,2B,0.72,0.39,0.33,1.44,2.0,0.176,-0.6634,-66.34,AVOID,PASS
Jesus Sanchez,MIA,MIA@TB,DH,0.74,0.33,0.36,1.43,2.0,0.174,-0.668,-66.8,AVOID,PASS
Sal Frelick,MIL,SD@MIL,LF,0.84,0.36,0.23,1.43,2.0,0.174,-0.668,-66.8,AVOID,PASS
Agustin Ramirez,MIA,MIA@TB,C,0.74,0.34,0.34,1.42,2.0,0.171,-0.6727,-67.27,AVOID,PASS
Luis Torrens,NYM,NYM@COL,1B,0.68,0.36,0.37,1.41,2.0,0.169,-0.6774,-67.74,AVOID,PASS
Taylor Ward,LAA,SEA@LAA,3B,0.59,0.37,0.45,1.41,2.0,0.169,-0.6774,-67.74,AVOID,PASS
Austin Wells,NYY,BOS@NYY,C,0.66,0.33,0.42,1.41,2.0,0.169,-0.6774,-67.74,AVOID,PASS
Jake Fraley,CIN,ARI@CIN,RF,0.66,0.4,0.34,1.4,2.0,0.167,-0.682,-68.2,AVOID,PASS
Will Benson,CIN,ARI@CIN,RF,0.58,0.38,0.44,1.4,2.0,0.167,-0.682,-68.2,AVOID,PASS
Jared Young,NYM,NYM@COL,1B,0.61,0.37,0.41,1.39,2.0,0.164,-0.6866,-68.66,AVOID,PASS
Kyle Manzardo,CLE,HOU@CLE,1B,0.63,0.34,0.42,1.39,2.0,0.164,-0.6866,-68.66,AVOID,PASS
Jordan Beck,COL,NYM@COL,LF,0.63,0.47,0.29,1.39,2.0,0.164,-0.6866,-68.66,AVOID,PASS
Rowdy Tellez,SEA,SEA@LAA,1B,0.61,0.3,0.46,1.37,2.0,0.159,-0.6957,-69.57,AVOID,PASS
Ronny Mauricio,NYM,NYM@COL,SS,0.66,0.37,0.32,1.35,2.0,0.155,-0.7048,-70.48,AVOID,PASS
Otto Lopez,MIA,MIA@TB,2B,0.67,0.33,0.34,1.34,2.0,0.152,-0.7093,-70.93,AVOID,PASS
Logan O'Hoppe,LAA,SEA@LAA,C,0.65,0.32,0.37,1.34,2.0,0.152,-0.7093,-70.93,AVOID,PASS
Christian Encarnacion-Strand,CIN,ARI@CIN,1B,0.6,0.32,0.38,1.3,2.0,0.143,-0.7271,-72.71,AVOID,PASS
Leody Taveras,SEA,SEA@LAA,CF,0.6,0.35,0.35,1.3,2.0,0.143,-0.7271,-72.71,AVOID,PASS
Carlos Santana,CLE,HOU@CLE,1B,0.56,0.37,0.36,1.29,2.0,0.141,-0.7315,-73.15,AVOID,PASS
Alek Thomas,ARI,ARI@CIN,LF,0.67,0.29,0.33,1.29,2.0,0.141,-0.7315,-73.15,AVOID,PASS
Jose Herrera,ARI,ARI@CIN,C,0.62,0.33,0.33,1.28,2.0,0.138,-0.7358,-73.58,AVOID,PASS
Coby Mayo,BAL,BAL@ATH,1B,0.6,0.36,0.32,1.28,2.0,0.138,-0.7358,-73.58,AVOID,PASS
DJ LeMahieu,NYY,BOS@NYY,2B,0.62,0.3,0.36,1.28,2.0,0.138,-0.7358,-73.58,AVOID,PASS
Tyrone Taylor,NYM,NYM@COL,CF,0.6,0.4,0.25,1.25,2.0,0.132,-0.7488,-74.88,AVOID,PASS
Robert Refsnyder,BOS,BOS@NYY,LF,0.58,0.28,0.37,1.23,2.0,0.127,-0.7573,-75.73,AVOID,PASS
Jo Adell,LAA,SEA@LAA,CF,0.52,0.31,0.4,1.23,2.0,0.127,-0.7573,-75.73,AVOID,PASS
Lane Thomas,CLE,HOU@CLE,OF,0.53,0.34,0.36,1.23,2.0,0.127,-0.7573,-75.73,AVOID,PASS
Heriberto Hernandez,MIA,MIA@TB,LF,0.62,0.31,0.29,1.22,2.0,0.125,-0.7615,-76.15,AVOID,PASS
Giovanny Urshela,ATH,BAL@ATH,1B,0.67,0.17,0.38,1.22,2.0,0.125,-0.7615,-76.15,AVOID,PASS
Gabriel Arias,CLE,HOU@CLE,2B,0.56,0.31,0.34,1.21,2.0,0.123,-0.7657,-76.57,AVOID,PASS
Jake Meyers,HOU,HOU@CLE,LF,0.61,0.32,0.27,1.2,2.0,0.121,-0.7698,-76.98,AVOID,PASS
Kameron Misner,TB,MIA@TB,LF,0.56,0.33,0.3,1.19,2.0,0.118,-0.7739,-77.39,AVOID,PASS
Jake Mangum,TB,MIA@TB,LF,0.57,0.32,0.3,1.19,2.0,0.118,-0.7739,-77.39,AVOID,PASS
Ramon Laureano,BAL,BAL@ATH,CF,0.57,0.35,0.26,1.18,2.0,0.116,-0.778,-77.8,AVOID,PASS
Eric Wagaman,MIA,MIA@TB,1B,0.64,0.3,0.24,1.18,2.0,0.116,-0.778,-77.8,AVOID,PASS
Jorge Soler,LAA,SEA@LAA,OF,0.54,0.32,0.31,1.17,2.0,0.114,-0.7821,-78.21,AVOID,PASS
Mauricio Dubon,HOU,HOU@CLE,2B,0.61,0.27,0.28,1.16,2.0,0.112,-0.7862,-78.62,AVOID,PASS
Caleb Durbin,MIL,SD@MIL,2B,0.58,0.26,0.31,1.15,2.0,0.11,-0.7902,-79.02,AVOID,PASS
Dane Myers,MIA,MIA@TB,1B,0.62,0.28,0.25,1.15,2.0,0.11,-0.7902,-79.02,AVOID,PASS
Carlos Narvaez,BOS,BOS@NYY,1B,0.55,0.29,0.3,1.14,2.0,0.108,-0.7942,-79.42,AVOID,PASS
Randal Grichuk,ARI,ARI@CIN,RF,0.55,0.3,0.26,1.11,2.0,0.102,-0.8059,-80.59,AVOID,PASS
Jorge Mateo,BAL,BAL@ATH,SS,0.5,0.35,0.26,1.11,2.0,0.102,-0.8059,-80.59,AVOID,PASS
Luis Rengifo,LAA,SEA@LAA,2B,0.6,0.26,0.25,1.11,2.0,0.102,-0.8059,-80.59,AVOID,PASS
Brendan Rodgers,HOU,HOU@CLE,2B,0.56,0.28,0.27,1.11,2.0,0.102,-0.8059,-80.59,AVOID,PASS
Tyler Freeman,COL,NYM@COL,OF,0.51,0.34,0.25,1.1,2.0,0.1,-0.8098,-80.98,AVOID,PASS
Liam Hicks,MIA,MIA@TB,C,0.55,0.23,0.32,1.1,2.0,0.1,-0.8098,-80.98,AVOID,PASS
Gavin Sheets,SD,SD@MIL,1B,0.6,0.21,0.28,1.09,2.0,0.098,-0.8136,-81.36,AVOID,PASS
Daniel Schneemann,CLE,HOU@CLE,2B,0.5,0.28,0.31,1.09,2.0,0.098,-0.8136,-81.36,AVOID,PASS
Marcelo Mayer,BOS,BOS@NYY,2B,0.53,0.3,0.26,1.09,2.0,0.098,-0.8136,-81.36,AVOID,PASS
Christopher Morel,TB,MIA@TB,3B,0.52,0.31,0.25,1.08,2.0,0.096,-0.8174,-81.74,AVOID,PASS
Romy Gonzalez,BOS,BOS@NYY,2B,0.53,0.3,0.25,1.08,2.0,0.096,-0.8174,-81.74,AVOID,PASS
Sam Hilliard,COL,NYM@COL,LF,0.5,0.29,0.28,1.07,2.0,0.094,-0.8212,-82.12,AVOID,PASS
Logan Davidson,ATH,BAL@ATH,SS,0.52,0.28,0.26,1.06,2.0,0.092,-0.8249,-82.49,AVOID,PASS
Nick Fortes,MIA,MIA@TB,C,0.54,0.25,0.27,1.06,2.0,0.092,-0.8249,-82.49,AVOID,PASS
Victor Caratini,HOU,HOU@CLE,1B,0.56,0.27,0.22,1.05,2.0,0.09,-0.8286,-82.86,AVOID,PASS
Nolan Jones,CLE,HOU@CLE,3B,0.5,0.23,0.31,1.04,2.0,0.088,-0.8323,-83.23,AVOID,PASS
Joey Ortiz,MIL,SD@MIL,3B,0.5,0.26,0.23,0.99,2.0,0.078,-0.8501,-85.01,AVOID,PASS
Oswald Peraza,NYY,BOS@NYY,2B,0.41,0.31,0.25,0.97,2.0,0.075,-0.857,-85.7,AVOID,PASS
Kyle Farmer,COL,NYM@COL,2B,0.47,0.19,0.31,0.97,2.0,0.075,-0.857,-85.7,AVOID,PASS
Danny Jansen,TB,MIA@TB,C,0.46,0.27,0.23,0.96,2.0,0.073,-0.8604,-86.04,AVOID,PASS
Bo Naylor,CLE,HOU@CLE,C,0.4,0.29,0.26,0.95,2.0,0.071,-0.8637,-86.37,AVOID,PASS
Angel Martinez,CLE,HOU@CLE,OF,0.45,0.25,0.25,0.95,2.0,0.071,-0.8637,-86.37,AVOID,PASS
Jason Heyward,SD,SD@MIL,RF,0.52,0.21,0.2,0.93,2.0,0.068,-0.8703,-87.03,AVOID,PASS
Will Wilson,CLE,HOU@CLE,2B,0.46,0.25,0.22,0.93,2.0,0.068,-0.8703,-87.03,AVOID,PASS
Isaac Collins,MIL,SD@MIL,OF,0.44,0.23,0.22,0.89,2.0,0.061,-0.8831,-88.31,AVOID,PASS
Jose Iglesias,SD,SD@MIL,2B,0.54,0.17,0.17,0.88,2.0,0.06,-0.8862,-88.62,AVOID,PASS
Curtis Mead,TB,MIA@TB,3B,0.5,0.21,0.15,0.86,2.0,0.056,-0.8922,-89.22,AVOID,PASS
Brandon Lockridge,SD,SD@MIL,LF,0.5,0.2,0.16,0.86,2.0,0.056,-0.8922,-89.22,AVOID,PASS
Taylor Walls,TB,MIA@TB,SS,0.4,0.26,0.2,0.86,2.0,0.056,-0.8922,-89.22,AVOID,PASS
Seth Brown,ATH,BAL@ATH,1B,0.42,0.18,0.24,0.84,2.0,0.053,-0.8981,-89.81,AVOID,PASS
Max Schuemann,ATH,BAL@ATH,1B,0.46,0.22,0.15,0.83,2.0,0.052,-0.901,-90.1,AVOID,PASS
Jake Cronenworth,SD,SD@MIL,1B,0.49,0.16,0.15,0.8,2.0,0.047,-0.9094,-90.94,AVOID,PASS
Elias Diaz,SD,SD@MIL,C,0.52,0.14,0.13,0.79,2.0,0.046,-0.9121,-91.21,AVOID,PASS
Pablo Reyes,NYY,BOS@NYY,2B,0.32,0.15,0.17,0.64,2.0,0.027,-0.948,-94.8,AVOID,PASS
Kevin Newman,LAA,SEA@LAA,SS,0.35,0.15,0.13,0.63,2.0,0.026,-0.95,-95.0,AVOID,PASS
Willie MacIver,ATH,BAL@ATH,C,0.31,0.15,0.16,0.62,2.0,0.025,-0.952,-95.2,AVOID,PASS
Ryan Ritter,COL,NYM@COL,SS,0.25,0.14,0.12,0.51,2.0,0.015,-0.971,-97.1,AVOID,PASS
